,authors,title,venue,year,type,id,cited by,title_ranking
3670,"Jalal Maleki, Lars Ahrenberg",Converting Romanized Persian to the Arabic Writing Systems.,LREC,2008,Conference and Workshop Papers,convertingromanizedpersiantothearabicwritingsystems2008,,Converting Romanized Persian Arabic Writing Systems
3671,"Martha Palmer, Olga Babko-Malaya, Ann Bies, Mona T. Diab, Mohamed Maamouri, Aous Mansouri, Wajdi Zaghouani",A Pilot Arabic Propbank.,LREC,2008,Conference and Workshop Papers,apilotarabicpropbank2008,54.0,Pilot Arabic Propbank
3672,"Horacio Rodríguez, David Farwell, Javi Ferreres, Manuel Bertrán, Musa Alkhalifa, Maria Antònia Martí",Arabic WordNet - Semi-automatic Extensions using Bayesian Inference.,LREC,2008,Conference and Workshop Papers,arabicwordnetsemiautomaticextensionsusingbayesianinference2008,,Arabic WordNet Semiautomatic Extensions Bayesian Inference
3673,"Doaa Samy, Ana González-Ledesma",Pragmatic Annotation of Discourse Markers in a Multilingual Parallel Corpus (Arabic- Spanish-English).,LREC,2008,Conference and Workshop Papers,pragmaticannotationofdiscoursemarkersinamultilingualparallelcorpusarabicspanishenglish2008,,Pragmatic Annotation Discourse Markers Multilingual Parallel Corpus Arabic SpanishEnglish
3674,"Clare R. Voss, Jamal Laoudi, Jeffrey Micher",Exploitation of an Arabic Language Resource for Machine Translation Evaluation - using Buckwalter-based Lookup Tool to Augment CMU Alignment Algorithm.,LREC,2008,Conference and Workshop Papers,exploitationofanarabiclanguageresourceformachinetranslationevaluationusingbuckwalterbasedlookuptooltoaugmentcmualignmentalgorithm2008,,Exploitation Arabic Language Resource Machine Translation Evaluation Buckwalterbased Lookup Tool Augment CMU Alignment Algorithm
3675,Siham Boulaknadel,Impact of Term-Indexing for Arabic Document Retrieval.,NLDB,2008,Conference and Workshop Papers,impactoftermindexingforarabicdocumentretrieval2008,,Impact TermIndexing Arabic Document Retrieval
3676,"Mahmoud O. El-Haj, Bassam H. Hammo",Evaluation of Query-Based Arabic Text Summarization System.,NLPKE,2008,Conference and Workshop Papers,evaluationofquerybasedarabictextsummarizationsystem2008,26.0,Evaluation QueryBased Arabic Text Summarization System
3677,"Feten Baccar Ben Amar, Aïda Khemakhem, Bilel Gargouri, Kais Haddar, Abdelmajid Ben Hamadou",LMF Standardized Model for the Editorial Electronic Dictionaries of Arabic.,NLPCS,2008,Conference and Workshop Papers,lmfstandardizedmodelfortheeditorialelectronicdictionariesofarabic2008,7.0,LMF Standardized Model Editorial Electronic Dictionaries Arabic
3678,"Andreas Stolcke, Sachin S. Kajarekar",Recognizing Arabic speakers with English phones.,Odyssey,2008,Conference and Workshop Papers,recognizingarabicspeakerswithenglishphones2008,,Recognizing Arabic speakers phones
3679,"Eiman Tamah Al-Shammari, Jessica Lin 0001",A novel Arabic lemmatization algorithm.,AND,2008,Conference and Workshop Papers,anovelarabiclemmatizationalgorithm2008,,novel Arabic lemmatization algorithm
3680,"Motasem Alrahabi, Jean-Pierre Desclés","Automatic Annotation of Direct Reported Speech in Arabic and French, According to a Semantic Map of Enunciative Modalities.",GoTAL,2008,Conference and Workshop Papers,automaticannotationofdirectreportedspeechinarabicandfrenchaccordingtoasemanticmapofenunciativemodalities2008,,Automatic Annotation Direct Reported Speech Arabic French According Semantic Map Enunciative Modalities
3681,"Mohamed Attia, Mohsen A. Rashwan, Ahmed Ragheb, Mohamed Al-Badrashiny, Husein Al-Basoumy, Sherif M. Abdou",A Compact Arabic Lexical Semantics Language Resource Based on the Theory of Semantic Fields.,GoTAL,2008,Conference and Workshop Papers,acompactarabiclexicalsemanticslanguageresourcebasedonthetheoryofsemanticfields2008,27.0,Compact Arabic Lexical Semantics Language Resource Based Theory Semantic Fields
3682,"Khaled Shaalan, Hafsa Raza",Arabic Named Entity Recognition from Diverse Text Types.,GoTAL,2008,Conference and Workshop Papers,arabicnamedentityrecognitionfromdiversetexttypes2008,322.0,Arabic Named Entity Recognition Diverse Text Types
3683,"Noor Shaker, Mohamed Abou-Zleikha, Oumayma Al Dakkak",SSML for Arabic Language.,TSD,2008,Conference and Workshop Papers,ssmlforarabiclanguage2008,,SSML Arabic Language
3684,"Sara Izadi, Ching Y. Suen",Incorporating a New Relational Feature in Arabic Online Handwritten Character Recognition.,VISAPP,2008,Conference and Workshop Papers,incorporatinganewrelationalfeatureinarabiconlinehandwrittencharacterrecognition2008,,Incorporating Relational Feature Arabic Online Handwritten Character Recognition
3685,Mohammad Ardeshir,Ibn Sī - nā&apos;s Philosophy of Mathematics.,The Unity of Science in the Arabic Tradition,2008,Parts in Books or Collections,ibnsīnāapossphilosophyofmathematics2008,,Ibn Sī nāaposs Philosophy Mathematics
3686,Allan Bäck,Islamic Logic?,The Unity of Science in the Arabic Tradition,2008,Parts in Books or Collections,islamiclogic2008,,Islamic Logic
3687,Deborah L. Black,Avicenna on Self-Awareness and Knowing that One Knows.,The Unity of Science in the Arabic Tradition,2008,Parts in Books or Collections,avicennaonselfawarenessandknowingthatoneknows2008,,Avicenna SelfAwareness Knowing
3688,Hans P. van Ditmarsch,Logical Fragments in Ibn Khaldūn&apos;s Muqaddimah.,The Unity of Science in the Arabic Tradition,2008,Parts in Books or Collections,logicalfragmentsinibnkhaldūnapossmuqaddimah2008,,Logical Fragments Ibn Khaldūnaposs Muqaddimah
3689,Ahmad Hasnawi,Avicenna on the Quantification of the Predicate (with an Appendix on [Ibn Zur&apos;a]).,The Unity of Science in the Arabic Tradition,2008,Parts in Books or Collections,avicennaonthequantificationofthepredicatewithanappendixonibnzuraposa2008,,Avicenna Quantification Predicate Appendix Ibn Zuraposa
3690,Jon McGinnis,Avicenna&apos;s Naturalized Epistemology and Scientific Method.,The Unity of Science in the Arabic Tradition,2008,Parts in Books or Collections,avicennaapossnaturalizedepistemologyandscientificmethod2008,,Avicennaaposs Naturalized Epistemology Scientific Method
3691,"Shahid Rahman, Tony Street, Hassan Tahiri",Introduction - The Major Breakthrough in Scientific Pratice.,The Unity of Science in the Arabic Tradition,2008,Parts in Books or Collections,introductionthemajorbreakthroughinscientificpratice2008,,Introduction Major Breakthrough Scientific Pratice
3692,Roshdi Rashed,The Philosophy of Mathematics.,The Unity of Science in the Arabic Tradition,2008,Parts in Books or Collections,thephilosophyofmathematics2008,,Philosophy Mathematics
3693,Paul Thom,Logic and Metaphysics in Avicenna&apos;s Modal Syllogistic.,The Unity of Science in the Arabic Tradition,2008,Parts in Books or Collections,logicandmetaphysicsinavicennaapossmodalsyllogistic2008,,Logic Metaphysics Avicennaaposs Modal Syllogistic
3694,"Hafiz Rizwan Iqbal, Mian M. Awais, Shahid Masud, Shafay Shamail",On Vowels Segmentation and Identification Using Formant Transitions in Continuous Recitation of Quranic Arabic.,New Challenges in Applied Intelligence Technologies,2008,Parts in Books or Collections,onvowelssegmentationandidentificationusingformanttransitionsincontinuousrecitationofquranicarabic2008,,Vowels Segmentation Identification Formant Transitions Continuous Recitation Quranic Arabic
3695,"David S. Doermann, Stefan Jaeger 0001","Arabic and Chinese Handwriting Recognition - SACH 2006 Summit College Park, MD, USA, September 27-28, 2006 Selected Papers",,2008,Editorship,arabicandchinesehandwritingrecognitionsach2006summitcollegeparkmdusaseptember27282006selectedpapers2008,,Arabic Chinese Handwriting Recognition SACH 2006 Summit College Park MD USA September 2728 2006 Selected Papers
3696,Henrik Lagerlund,The Assimilation of Aristotelian and Arabic Logic up to the Later Thirteenth Century.,Mediaeval and Renaissance Logic,2008,Reference Works,theassimilationofaristotelianandarabiclogicuptothelaterthirteenthcentury2008,,Assimilation Aristotelian Arabic Logic Thirteenth Century
3697,"Omar M. Al-Jarrah, Faruq A. Al-Omari",Improving Gesture Recognition in the Arabic Sign Language Using Texture Analysis.,Appl. Artif. Intell.,2007,Journal Articles,improvinggesturerecognitioninthearabicsignlanguageusingtextureanalysis2007,,Improving Gesture Recognition Arabic Sign Language Texture Analysis
3698,Ibrahim Abu El-Khair,Arabic information retrieval.,Annu. Rev. Inf. Sci. Technol.,2007,Journal Articles,arabicinformationretrieval2007,,Arabic information retrieval
3699,"Khalid Saeed 0001, Majida Albakoor",A New Feature Extraction Method for TMNN-Based Arabic Character Classification.,Comput. Informatics,2007,Journal Articles,anewfeatureextractionmethodfortmnnbasedarabiccharacterclassification2007,,Feature Extraction Method TMNNBased Arabic Character Classification
3700,"Atef Z. Ghalwash, Aliaa A. A. Youssif, Amena M. Ramadan",Development of A System for Teaching Arabic as A Second Language For Deaf Learners.,Egypt. Comput. Sci. J.,2007,Journal Articles,developmentofasystemforteachingarabicasasecondlanguagefordeaflearners2007,,Development System Teaching Arabic Language Deaf Learners
3701,"Tamer Shanableh, Khaled Assaleh 0001",Telescopic Vector Composition and Polar Accumulated Motion Residuals for Feature Extraction in Arabic Sign Language Recognition.,EURASIP J. Image Video Process.,2007,Journal Articles,telescopicvectorcompositionandpolaraccumulatedmotionresidualsforfeatureextractioninarabicsignlanguagerecognition2007,,Telescopic Vector Composition Polar Accumulated Motion Residuals Feature Extraction Arabic Sign Language Recognition
3702,Rehab M. Duwairi,Arabic Text Categorization.,Int. Arab J. Inf. Technol.,2007,Journal Articles,arabictextcategorization2007,,Arabic Text Categorization
3703,"Toufik Sari, Mokhtar Sellami 0001",Overview of Some Algorithms of Off-Line Arabic Handwriting Segmentation.,Int. Arab J. Inf. Technol.,2007,Journal Articles,overviewofsomealgorithmsofofflinearabichandwritingsegmentation2007,,Overview Algorithms OffLine Arabic Handwriting Segmentation
3704,"Sane Yagi, Jim Yaghi",Tracking Morphophonemic Transformation in Arabic Word Generation and Root Extraction.,Int. Arab J. Inf. Technol.,2007,Journal Articles,trackingmorphophonemictransformationinarabicwordgenerationandrootextraction2007,,Tracking Morphophonemic Transformation Arabic Word Generation Root Extraction
3705,"Chiraz Ben Othmane Zribi, Aroua Torjmen, Mohamed Ben Ahmed",A Multi-Agent System for POS-Tagging Vocalized Arabic Texts.,Int. Arab J. Inf. Technol.,2007,Journal Articles,amultiagentsystemforpostaggingvocalizedarabictexts2007,15.0,MultiAgent System POSTagging Vocalized Arabic Texts
3706,"Moncef Charfi, Wafa Boussellaa, Mohamed Adel Alimi",An Intelligent System for Digitization and Processing of Historical Arabic Documents.,Int. J. Comput. Process. Orient. Lang.,2007,Journal Articles,anintelligentsystemfordigitizationandprocessingofhistoricalarabicdocuments2007,,Intelligent System Digitization Processing Historical Arabic Documents
3707,"Bassam Haddad, Mustafa Yaseen",Detection and Correction of Non-Words in Arabic - a Hybrid Approach.,Int. J. Comput. Process. Orient. Lang.,2007,Journal Articles,detectionandcorrectionofnonwordsinarabicahybridapproach2007,,Detection Correction NonWords Arabic Hybrid Approach
3708,"Toufik Sari, Mokhtar Sellami 0001",State-of-the-Art of Off-Line Arabic Handwriting Segmentation.,Int. J. Comput. Process. Orient. Lang.,2007,Journal Articles,stateoftheartofofflinearabichandwritingsegmentation2007,,StateoftheArt OffLine Arabic Handwriting Segmentation
3709,"Khaled Shaalan, Habib Talhami, Ibrahim Kamel",Automatic Morphological Generation for the Indexing of Arabic Speech Recordings.,Int. J. Comput. Process. Orient. Lang.,2007,Journal Articles,automaticmorphologicalgenerationfortheindexingofarabicspeechrecordings2007,,Automatic Morphological Generation Indexing Arabic Speech Recordings
3710,Mohammad S. Khorsheed,Hmm-Based System for Recognizing Words in Historical Arabic Manuscript.,Int. J. Robotics Autom.,2007,Journal Articles,hmmbasedsystemforrecognizingwordsinhistoricalarabicmanuscript2007,,HmmBased System Recognizing Words Historical Arabic Manuscript
3711,"Mansour Al-Ghamdi, Moustafa Elshafei, Husni Al-Muhtaseb",Arabic broadcast news transcription system.,Int. J. Speech Technol.,2007,Journal Articles,arabicbroadcastnewstranscriptionsystem2007,,Arabic broadcast news transcription system
3712,"AbdulMalik S. Al-Salman, Mohamed I. Alkanhal, Yousef Al-Ohali, Hazem Al-Rashed, Bander Al-Sulami",Mubser - a bilingual Braille to text translation with an Arabic interface.,Int. J. Web Inf. Syst.,2007,Journal Articles,mubserabilingualbrailletotexttranslationwithanarabicinterface2007,,Mubser bilingual Braille text translation Arabic interface
3713,,"INIS has published a new release of the INIS Thesaurus in English on paper and the, Multilingual version (Arabic-Chinese-English-French-German-Russian-Spanish) on CD.",Inf. Serv. Use,2007,Journal Articles,inishaspublishedanewreleaseoftheinisthesaurusinenglishonpaperandthemultilingualversionarabicchineseenglishfrenchgermanrussianspanishoncd2007,,INIS published release INIS Thesaurus paper Multilingual version ArabicChineseEnglishFrenchGermanRussianSpanish CD
3714,Rasha A. Abdulla,"Islam, Jihad, and Terrorism in Post-9/11 Arabic Discussion Boards.",J. Comput. Mediat. Commun.,2007,Journal Articles,islamjihadandterrorisminpost911arabicdiscussionboards2007,,Islam Jihad Terrorism Post911 Arabic Discussion Boards
3715,"Ayman Al-Dmour, Raed Abu Zitar",Arabic writer identification based on hybrid spectral-statistical measures.,J. Exp. Theor. Artif. Intell.,2007,Journal Articles,arabicwriteridentificationbasedonhybridspectralstatisticalmeasures2007,,Arabic writer identification based hybrid spectralstatistical measures
3716,Otakar Smrz,Functional Arabic Morphology - Dissertation Summary.,Prague Bull. Math. Linguistics,2007,Journal Articles,functionalarabicmorphologydissertationsummary2007,,Functional Arabic Morphology Dissertation Summary
3717,Mohammad S. Khorsheed,Offline recognition of omnifont Arabic text using the HMM ToolKit (HTK).,Pattern Recognit. Lett.,2007,Journal Articles,offlinerecognitionofomnifontarabictextusingthehmmtoolkithtk2007,,Offline recognition omnifont Arabic text HMM ToolKit HTK
3718,"Youngim Jung, Ae-sun Yoon, Hyuk-Chul Kwon",Grapheme-to-Phoneme Conversion of Arabic Numeral Expressions for Embedded TTS Systems.,IEEE Trans. Speech Audio Process.,2007,Journal Articles,graphemetophonemeconversionofarabicnumeralexpressionsforembeddedttssystems2007,,GraphemetoPhoneme Conversion Arabic Numeral Expressions Embedded TTS Systems
3719,"Kareem Darwish, Walid Magdy",Error correction vs. query garbling for Arabic OCR document retrieval.,ACM Trans. Inf. Syst.,2007,Journal Articles,errorcorrectionvsquerygarblingforarabicocrdocumentretrieval2007,,Error correction vs query garbling Arabic OCR document retrieval
3720,"Tamer Shanableh, Khaled Assaleh 0001, Mohammad A. Al-Rousan",Spatio-Temporal Feature-Extraction Techniques for Isolated Gesture Recognition in Arabic Sign Language.,IEEE Trans. Syst. Man Cybern. Part B,2007,Journal Articles,spatiotemporalfeatureextractiontechniquesforisolatedgesturerecognitioninarabicsignlanguage2007,,SpatioTemporal FeatureExtraction Techniques Isolated Gesture Recognition Arabic Sign Language
